"zip","med_inc","pop","party"
"01238",59477,6047,"Democratic"
"01240",51464,4534,"Democratic"
"01242",55167,476,"Democratic"
"01243",67411,334,"Democratic"
"01244",29125,151,"Democratic"
"01245",52500,985,"Democratic"
"01247",41103,16087,"Democratic"
"01253",67917,731,"Democratic"
"01254",95125,972,"Democratic"
"01255",55917,915,"Democratic"
"01256",56500,692,"Democratic"
"01257",50543,2121,"Democratic"
"01258",56607,374,"Democratic"
"01259",70074,635,"Democratic"
"01260",74615,240,"Democratic"
"01262",41648,1238,"Democratic"
"01264",70625,137,"Democratic"
"01266",76953,1463,"Democratic"
"01267",72352,7989,"Democratic"
"01270",68456,778,"Democratic"
"01301",48319,17700,"Democratic"
"01330",72560,1506,"Democratic"
"01331",50498,13263,"Democratic"
"01337",58875,2596,"Democratic"
"01338",69886,187,"Democratic"
"01339",50536,1438,"Democratic"
"01340",49886,1701,"Democratic"
"01341",77500,1833,"Democratic"
"01342",99675,1492,"Democratic"
"01343",81806,75,"Democratic"
"01344",57500,1498,"Democratic"
"01346",65000,533,"Democratic"
"01347",31250,166,"Democratic"
"01349",50714,1091,"Democratic"
"01350",36875,121,"Democratic"
"01351",70799,2270,"Democratic"
"01354",74583,1500,"Democratic"
"01355",68929,878,"Democratic"
"01360",60608,3032,"Democratic"
"01364",45758,7969,"Democratic"
"01366",76094,1277,"Democratic"
"01367",47279,522,"Democratic"
"01368",60750,1261,"Democratic"
"01370",53516,4084,"Democratic"
"01373",64127,4600,"Democratic"
"01375",47000,3684,"Democratic"
"01376",39792,5247,"Democratic"
"01378",56094,774,"Democratic"
"01379",48188,813,"Democratic"
"01420",45363,40337,"Democratic"
"01430",83532,6089,"Democratic"
"01431",82778,3074,"Democratic"
"01432",57543,7089,"Democratic"
"01434",77396,1795,"Democratic"
"01436",69076,3336,"Democratic"
"01438",62422,559,"Democratic"
"01440",49067,20347,"Democratic"
"01450",117127,10646,"Democratic"
"01451",136058,4747,"Democratic"
"01452",86979,4382,"Democratic"
"01453",58896,40883,"Democratic"
"01460",105455,8924,"Democratic"
"01462",76063,10086,"Democratic"
"01463",81193,11497,"Democratic"
"01464",65882,7211,"Democratic"
"01467",181810,316,"Democratic"
"01468",62096,4021,"Democratic"
"01469",78985,6801,"Democratic"
"01473",83840,7277,"Democratic"
"01474",90521,2125,"Democratic"
"01475",58288,10270,"Democratic"
"01501",73612,16075,"Democratic"
"01503",95962,2866,"Democratic"
"01504",74294,9026,"Democratic"
"01505",97938,4355,"Democratic"
"01506",61800,3390,"Democratic"
"01507",93963,12981,"Democratic"
"01510",64723,13606,"Democratic"
"01515",66042,2183,"Democratic"
"01516",82831,8500,"Democratic"
"01518",61719,2974,"Democratic"
"01519",102300,6595,"Democratic"
"01520",96780,13997,"Democratic"
"01521",67684,2481,"Democratic"
"01522",93238,3310,"Democratic"
"01523",78283,7582,"Democratic"
"01524",68899,6696,"Democratic"
"01525",44857,290,"Democratic"
"01527",71832,13246,"Democratic"
"01529",82083,3190,"Democratic"
"01531",82569,999,"Democratic"
"01532",108415,14155,"Democratic"
"01534",85000,5631,"Democratic"
"01535",54439,4680,"Democratic"
"01536",76063,6888,"Democratic"
"01537",72607,2248,"Democratic"
"01540",68986,11291,"Democratic"
"01541",120607,3413,"Democratic"
"01542",74273,2202,"Democratic"
"01543",86482,7973,"Democratic"
"01545",92360,35299,"Democratic"
"01550",42471,16719,"Democratic"
"01560",81667,4527,"Democratic"
"01561",19637,330,"Democratic"
"01562",60197,11688,"Democratic"
"01564",98872,7808,"Democratic"
"01566",82750,6294,"Democratic"
"01568",105208,7480,"Democratic"
